Legion_Name,Name,Kind,Distance,Class,latitude,longitude,adress,New_adress
중구,남산도시자연공원,공원,,Park,37.5501402,126.9903773,서울특별시 중구 삼일대로 231(예장동),
강동구,길동생태공원,공원,,Park,37.5403935,127.1547791,서울특별시 강동구 천호대로 1291(길동생태공원) ,
성동구,서울숲,공원,,Park,37.5430717,127.0417982,서울특별시 성동구 뚝섬로 273 (성수동1가) ,
마포구,월드컵공원,공원,,Park,37.571805,126.878907,서울특별시 마포구 하늘공원로 84(월드컵공원),
종로구,광화문시민열린마당,공원,,Park,37.5750449,126.9780227,서울특별시 종로구 세종로 76-2,
은평구,진관근린공원(구파발폭포),공원,,Park,37.6370244,126.9192155,서울특별시 은평구 진관동 393,
영등포구,중마루근린공원,공원,,Park,37.519832,126.9112668,서울특별시 영등포구 영등포동2가 222,
성동구,응봉공원,공원,,Park,37.5572281,127.0217653,서울특별시 성동구 금호동1가 산1-72,
강서구,매화근린공원,공원,,Park,37.5575833,126.86115,서울특별시 강서구 등촌동 630-14,
성동구,성수근린공원,공원,,Park,37.5448144,127.0524023,서울특별시 성동구 성수2가 3동 302-25,
강동구,샛마을근린공원,공원,,Park,37.5504807,127.1471618,서울특별시 강동구 명일1동 288,
영등포구,여의도근린공원,공원,,Park,37.526129,126.922377,서울특별시 영등포구 여의공원로 68 (여의도동),
동대문구,간데메근린공원,공원,,Park,37.5732438,127.0488644,서울특별시 동대문구 서울시립대로2길 59(간데메공원),
중구,훈련원근린공원,공원,,Park,37.5675245,127.0038188,서울특별시 중구 을지로 227,
영등포구,영등포근린공원,공원,,Park,37.515423,126.910662,서울특별시 영등포구 신길로 275,
동작구,보라매근린공원,공원,,Park,37.492333,126.918289,서울특별시 동작구 여의대방로20길 33(보라매공원),
광진구,어린이대공원,공원,,Park,37.5498987,127.0809212,서울특별시 광진구 능동로 216(어린이대공원),
강동구,천호근린공원,공원,,Park,37.5444741,127.1263451,서울특별시 강동구 올림픽로 702(천호공원),
용산구,용산가족공원,공원,,Park,37.522226,126.983335,서울특별시 용산구 서빙고로 185,
서대문구,독립근린공원,공원,,Park,37.5738289,126.956771,서울특별시 서대문구 통일로251(독립공원),
종로구,낙산근린공원,공원,,Park,37.580477,127.007587,서울특별시 종로구 낙산길 41 (우) 03085,
