학교명,학교급구분,소재지도로명주소,위도,경도,Region_Name
서울영림초등학교,초등학교,서울특별시 영등포구 시흥대로173길 14 . 서울영림초등학교 (대림동),37.4872977,126.9025393,영등포구
서울평화초등학교,초등학교,서울특별시 송파구 송파대로26길 22 . 서울평화초등학교 (가락동),37.49162927,127.1223566,송파구
서울양동초등학교,초등학교,서울특별시 양천구 오목로23길 24 (신정동),37.52600601,126.8511587,양천구
서울중화초등학교,초등학교,서울특별시 중랑구 신내로7가길 22 . 서울중화초등학교 (신내동),37.60300324,127.0946485,중랑구
서울상월초등학교,초등학교,서울특별시 노원구 동일로221길 27 (상계동),37.65848709,127.0571716,노원구
서울중목초등학교,초등학교,서울특별시 중랑구 동일로 665 . 서울중목초등학교 (면목동),37.58997982,127.0793361,중랑구
서울동작초등학교,초등학교,서울특별시 동작구 동작대로29길 214 . 서울동작초등학교 (사당동),37.49410161,126.9768411,동작구
서울갈산초등학교,초등학교,서울특별시 양천구 목동로 31 (신정동.서울갈산초등학교),37.51174342,126.8699978,양천구
서울태랑초등학교,초등학교,서울특별시 노원구 화랑로51나길 31 . 서울태랑초등학교 (공릉동),37.62637772,127.0907213,노원구
서울한천초등학교,초등학교,서울특별시 노원구 마들로 45 . 서울한천초등학교 (월계동),37.62015506,127.0688927,노원구
서울신구초등학교,초등학교,서울특별시 강남구 압구정로18길 28 (신사동.신구초등학교),37.52318884,127.0242775,강남구
서울봉화초등학교,초등학교,서울특별시 중랑구 신내로15길 110 (신내동.봉화초등학교),37.61331383,127.0921725,중랑구
서울양원초등학교,초등학교,서울특별시 양천구 화곡로 16 (신월동.서울양원초등학교),37.53865393,126.8234816,양천구
서울상봉초등학교,초등학교,서울특별시 중랑구 동일로126가길 11 . 서울상봉초등학교 (상봉동),37.59809416,127.0836798,중랑구
서울원광초등학교,초등학교,서울특별시 노원구 덕릉로76길 18 (중계동.원광초등학교),37.6540189,127.0748416,노원구
서울월계초등학교,초등학교,서울특별시 노원구 월계로45가길 10 (월계동.월계초등학교),37.62762424,127.0508421,노원구
서울송례초등학교,초등학교,서울특별시 송파구 위례순환로 439 (장지동. 서울송례초등학교),37.47773418,127.1385039,송파구
서울강남초등학교,초등학교,서울특별시 동작구 강남초등길 15 (상도1동. 강남초등학교),37.50619275,126.9532007,동작구
서울원촌초등학교,초등학교,서울특별시 서초구 사평대로45길 26 (반포동.서울원촌초등학교),37.50603606,127.0127721,서초구
서울가원초등학교,초등학교,서울특별시 송파구 중대로4길 8 (문정동. 가원초등학교),37.4891201,127.1114055,송파구
서울면동초등학교,초등학교,서울특별시 중랑구 면목로57길 32 . 서울면동초등학교 (면목동. 면동초등학교),37.58526987,127.0866805,중랑구
상명대학교사범대학부속초등학교,초등학교,서울특별시 종로구 홍지문2길 1 (홍지동. 상명초등학교),37.60075792,126.9563523,종로구
서울신곡초등학교,초등학교,서울특별시 강서구 등촌로13자길 42-14 (화곡동.신곡초등학교),37.53877767,126.8558353,강서구
서울불광초등학교,초등학교,서울특별시 은평구 불광로 51 . 서울불광초등학교 (불광동),37.61258244,126.9309092,은평구
서울신내초등학교,초등학교,서울특별시 중랑구 용마산로125나길 22 (신내동.신내초등학교),37.60437742,127.0999812,중랑구
서울중곡초등학교,초등학교,서울특별시 중랑구 면목로23길 20 (면목동.중곡초등학교),37.57436078,127.0835305,중랑구
서울전농초등학교,초등학교,서울특별시 동대문구 사가정로 66 . 서울전농초등학교 (전농동),37.5744176,127.0544089,동대문구
서울잠실초등학교,초등학교,서울특별시 송파구 올림픽로35길 20 (신천동.잠실초등학교),37.52010753,127.11127,송파구
서울논현초등학교,초등학교,서울특별시 강남구 강남대로120길 33 (논현동.논현초등학교),37.5084232,127.0261867,강남구
서울구룡초등학교,초등학교,서울특별시 강남구 개포로 263 (개포동.구룡초등학교),37.48080548,127.051891,강남구
서울독립문초등학교,초등학교,서울특별시 종로구 통일로12길 23 (무악동. 독립문초등학교),37.57413657,126.9602466,종로구
서울한남초등학교,초등학교,서울특별시 용산구 한남대로 112 . 서울한남초등학교 (한남동),37.5393989,127.0049096,용산구
서울공진초등학교,초등학교,서울특별시 강서구 마곡서로 33(마곡동) 서울공진초등학교,37.55780477,126.82273,강서구
서울신성초등학교,초등학교,서울특별시 관악구 신림로 114 . 서울신성초등학교 (신림동),37.47179668,126.9372757,관악구
서울영화초등학교,초등학교,서울특별시 동작구 등용로8길 3 . 서울영화초등학교 (대방동),37.50914588,126.9331672,동작구
서울자곡초등학교,초등학교,서울특별시 강남구 자곡로 150 (자곡동),37.47206129,127.0996665,강남구
서울명신초등학교,초등학교,서울특별시 종로구 낙산길 250 (창신동),37.58146865,127.0139642,종로구
서울서원초등학교,초등학교,서울특별시 서초구 고무래로 63 . 서울서원초등학교 (반포동),37.50261842,127.0152191,서초구
서울위례솔초등학교,초등학교,서울특별시 송파구 위례북로2길 12 (거여동. 서울위례솔초등학교),37.48663746,127.1509109,송파구
서울마천초등학교,초등학교,서울특별시 송파구 마천로61다길 24 . 서울마천초등학교 (마천동),37.49535028,127.1522973,송파구
서울잠일초등학교,초등학교,서울특별시 송파구 올림픽로 95 서울잠일초등학교 (잠실동),37.51505804,127.0814177,송파구
서울가주초등학교,초등학교,서울특별시 송파구 오금로40길 37 (가락동. 가주초등학교),37.49662263,127.1292617,송파구
서울원묵초등학교,초등학교,서울특별시 중랑구 숙선옹주로 109 . 서울원묵초등학교 (묵동),37.61768065,127.0861068,중랑구
서울장평초등학교,초등학교,서울특별시 동대문구 답십리로69길 27 (장안동. 서울장평초등학교),37.57380744,127.0733241,동대문구
서울안천초등학교,초등학교,서울특별시 금천구 한내로 69-16 . 서울안천초등학교 (독산동),37.45817893,126.8885094,금천구
서울대진초등학교,초등학교,서울특별시 강남구 개포로109길 74 . 서울대진초등학교 (개포동),37.49668479,127.0780425,강남구
서울오륜초등학교,초등학교,서울특별시 송파구 양재대로 1196 . 서울오륜초등학교 (방이동),37.51208485,127.1345763,송파구
서울개명초등학교,초등학교,서울특별시 구로구 개봉로1다길 16-9 (개봉동.개명초등학교),37.48312265,126.8507003,구로구
서울신강초등학교,초등학교,서울특별시 양천구 중앙로55길 72 . 서울신강초등학교 (신월동.서울신강초등학교),37.5259562,126.8416536,양천구
서울가산초등학교,초등학교,서울특별시 금천구 남부순환로 1304-11 . 서울가산초등학교 (독산동),37.47794535,126.896405,금천구
서울정곡초등학교,초등학교,서울특별시 강서구 방화대로50길 22 (방화동.정곡초등학교),37.57695491,126.8188827,강서구
서울대곡초등학교,초등학교,서울특별시 강남구 남부순환로 3022 서울대곡초등학교 (대치동.대곡초등학교),37.49439753,127.0651645,강남구
서울오금초등학교,초등학교,서울특별시 송파구 위례성대로22길 11 (오금동.오금초등학교),37.50915569,127.1317971,송파구
