,년,월,금리,실업률
0,2011.0,1.0,2.75,3.8
1,2011.0,2.0,2.75,4.5
2,2011.0,3.0,3,4.3
3,2011.0,4.0,3,3.7
4,2011.0,5.0,3,3.2
5,2011.0,6.0,3.25,3.3
6,2011.0,7.0,3.25,3.3
7,2011.0,8.0,3.25,3.0
8,2011.0,9.0,3.25,3.0
9,2011.0,10.0,3.25,2.9
10,2011.0,11.0,3.25,2.9
11,2011.0,12.0,3.25,3.0
12,2012.0,1.0,3.25,3.5
13,2012.0,2.0,3.25,4.2
14,2012.0,3.0,3.25,3.7
15,2012.0,4.0,3.25,3.5
16,2012.0,5.0,3.25,3.1
17,2012.0,6.0,3.25,3.2
18,2012.0,7.0,3,3.1
19,2012.0,8.0,3,3.0
20,2012.0,9.0,3,2.9
21,2012.0,10.0,2.75,2.8
22,2012.0,11.0,2.75,2.8
23,2012.0,12.0,2.75,2.9
24,2013.0,1.0,2.75,3.4
25,2013.0,2.0,2.75,3.9
26,2013.0,3.0,2.75,3.5
27,2013.0,4.0,2.75,3.2
28,2013.0,5.0,2.5,3.0
29,2013.0,6.0,2.5,3.1
30,2013.0,7.0,2.5,3.1
31,2013.0,8.0,2.5,3.0
32,2013.0,9.0,2.5,2.7
33,2013.0,10.0,2.5,2.7
34,2013.0,11.0,2.5,2.6
35,2013.0,12.0,2.5,3.0
36,2014.0,1.0,2.5,3.4
37,2014.0,2.0,2.5,4.5
38,2014.0,3.0,2.5,3.9
39,2014.0,4.0,2.5,3.8
40,2014.0,5.0,2.5,3.5
41,2014.0,6.0,2.5,3.5
42,2014.0,7.0,2.5,3.4
43,2014.0,8.0,2.25,3.3
44,2014.0,9.0,2.25,3.1
45,2014.0,10.0,2,3.2
46,2014.0,11.0,2,3.0
47,2014.0,12.0,2,3.3
48,2015.0,1.0,2,3.7
49,2015.0,2.0,2,4.5
50,2015.0,3.0,1.75,4.0
51,2015.0,4.0,1.75,3.9
52,2015.0,5.0,1.75,3.7
53,2015.0,6.0,1.5,3.8
54,2015.0,7.0,1.5,3.6
55,2015.0,8.0,1.5,3.4
56,2015.0,9.0,1.5,3.2
57,2015.0,10.0,1.5,3.1
58,2015.0,11.0,1.5,3.0
59,2015.0,12.0,1.5,3.2
60,2016.0,1.0,1.5,3.7
61,2016.0,2.0,1.5,4.9
62,2016.0,3.0,1.5,4.2
63,2016.0,4.0,1.5,3.9
64,2016.0,5.0,1.5,3.6
65,2016.0,6.0,1.25,3.6
66,2016.0,7.0,1.25,3.5
67,2016.0,8.0,1.25,3.6
68,2016.0,9.0,1.25,3.5
69,2016.0,10.0,1.25,3.3
70,2016.0,11.0,1.25,3.1
71,2016.0,12.0,1.25,3.2
72,2017.0,1.0,1.25,3.7
73,2017.0,2.0,1.25,4.9
74,2017.0,3.0,1.25,4.1
75,2017.0,4.0,1.25,4.2
76,2017.0,5.0,1.25,3.6
77,2017.0,6.0,1.25,3.8
78,2017.0,7.0,1.25,3.4
79,2017.0,8.0,1.25,3.6
80,2017.0,9.0,1.25,3.3
81,2017.0,10.0,1.25,3.2
82,2017.0,11.0,1.5,3.1
83,2017.0,12.0,1.5,3.3
84,2018.0,1.0,1.5,3.7
85,2018.0,2.0,1.5,4.6
86,2018.0,3.0,1.5,4.5
87,2018.0,4.0,1.5,4.1
88,2018.0,5.0,1.5,4.0
89,2018.0,6.0,1.5,3.7
90,2018.0,7.0,1.5,3.7
91,2018.0,8.0,1.5,4.0
92,2018.0,9.0,1.5,3.6
93,2018.0,10.0,1.5,3.5
94,2018.0,11.0,1.75,3.2
95,2018.0,12.0,1.75,3.4
96,2019.0,1.0,1.75,4.5
97,2019.0,2.0,1.75,4.7
98,2019.0,3.0,1.75,4.3
99,2019.0,4.0,1.75,4.4
100,2019.0,5.0,1.75,4.0
101,2019.0,6.0,1.75,4.0
102,2019.0,7.0,1.5,3.9
103,2019.0,8.0,1.5,3.0
104,2019.0,9.0,1.5,3.1
105,2019.0,10.0,1.25,3.0
106,2019.0,11.0,1.25,3.1
107,2019.0,12.0,1.25,3.4
108,2020.0,1.0,1.25,4.1
109,2020.0,2.0,1.25,4.1
110,2020.0,3.0,0.75,4.2
111,2020.0,4.0,0.75,4.2
112,2020.0,5.0,0.5,4.5
113,2020.0,6.0,0.5,4.3
114,2020.0,7.0,0.5,4.0
115,2020.0,8.0,0.5,3.1
116,2020.0,9.0,0.5,3.6
117,2020.0,10.0,0.5,3.7
118,2020.0,11.0,0.5,3.4
119,2020.0,12.0,0.5,4.1
120,2021.0,1.0,0.5,5.7
121,2021.0,2.0,0.5,4.9
122,2021.0,3.0,0.5,4.3
123,2021.0,4.0,0.5,4.0
124,2021.0,5.0,0.5,4.0
125,2021.0,6.0,0.5,3.8
126,2021.0,7.0,0.5,3.2
127,2021.0,8.0,0.75,2.6
128,2021.0,9.0,0.75,2.7
129,2021.0,10.0,0.75,2.8
130,2021.0,11.0,1,2.6
131,2021.0,12.0,1,3.5
132,2022.0,1.0,1.25,4.1
133,2022.0,2.0,1.25,3.4
134,2022.0,3.0,1.25,3.0
135,2022.0,4.0,1.5,3.0
136,2022.0,5.0,1.75,3.0
137,2022.0,6.0,1.75,3.0
138,2022.0,7.0,2.25,2.9
139,2022.0,8.0,2.5,2.1
140,2022.0,9.0,2.5,2.4
141,2022.0,10.0,3,2.4
142,2022.0,11.0,3.25,2.3
143,2022.0,12.0,3.25,3.0
144,2023.0,1.0,3.5,3.6
145,2023.0,2.0,3.5,3.1
146,2023.0,3.0,3.5,2.9
147,2023.0,4.0,3.5,2.8
148,2023.0,5.0,3.5,2.7
149,2023.0,6.0,3.5,2.7
150,2023.0,7.0,3.5,2.7
