시점,행정구역(시군구)별,계,0 - 19세,20 - 34세,35 - 54세,55 -
2000,서울특별시,10287787,2749537,3071339,3097026,1369884
2000,종로구,186484,44708,54219,54308,33248
2000,중구,133632,30770,40371,38671,23819
2000,용산구,238788,55423,72768,68443,42153
2000,성동구,339982,87422,107141,97142,48277
2000,광진구,390685,105825,125343,113565,45950
2000,동대문구,373734,91502,115403,108024,58804
2000,중랑구,460088,129900,132917,139946,57324
2000,성북구,466895,115555,140809,135856,74674
2000,강북구,352068,87645,106443,102853,55127
2000,도봉구,373125,109702,98981,117504,46938
2000,노원구,625067,189419,163805,196449,75393
2000,은평구,470940,125748,136738,139634,68819
2000,서대문구,366581,90986,113962,103127,58506
2000,마포구,386211,93187,126476,107432,59115
2000,양천구,483547,144887,126238,159387,53035
2000,강서구,520508,150001,146401,163394,60712
2000,구로구,399195,108540,122622,120010,48022
2000,금천구,267530,74352,81619,80417,31141
2000,영등포구,405408,104992,127489,118348,54578
2000,동작구,417526,103420,136177,117052,60876
2000,관악구,520978,127422,179917,144876,68762
2000,서초구,399409,100363,123862,123756,51428
2000,강남구,551318,142676,167395,174972,66274
2000,송파구,664547,190036,191266,209600,73644
2000,강동구,493534,145049,132971,162254,53259
2001,서울특별시,10287325,2662189,3071595,3139389,1414151
2001,종로구,185301,43473,53191,55002,33635
2001,중구,142013,31721,43304,41609,25378
2001,용산구,240560,54494,72882,70205,42978
2001,성동구,341082,84960,107165,99341,49615
2001,광진구,389709,102541,124654,115487,47026
2001,동대문구,381121,90760,117521,111703,61137
2001,중랑구,453684,123409,130892,140491,58891
2001,성북구,455732,109136,136295,134788,75513
2001,강북구,351699,84342,105670,104343,57344
2001,도봉구,371117,105901,98099,118591,48526
2001,노원구,639769,188422,168691,203163,79492
2001,은평구,468568,121236,135331,141027,70972
2001,서대문구,366804,89164,112852,104888,59899
2001,마포구,383224,89957,125031,108239,59996
2001,양천구,485563,141607,126883,162064,55008
2001,강서구,521360,144541,148026,165828,62964
2001,구로구,409213,107348,125053,125436,51376
2001,금천구,263453,70583,79181,81342,32346
2001,영등포구,406685,102015,127156,121075,56438
2001,동작구,411004,98229,133996,116642,62136
2001,관악구,526084,123069,183400,147780,71835
2001,서초구,395859,96754,123125,123150,52829
2001,강남구,545491,136750,167255,173541,67945
2001,송파구,659330,182401,191038,210259,75630
2001,강동구,492895,139370,134897,163389,55238
2002,서울특별시,10235315,2561844,3049942,3158466,1465062
2002,종로구,182728,41747,51851,55111,34018
2002,중구,140575,30306,42393,42002,25873
2002,용산구,237843,52272,71358,70484,43728
2002,성동구,341074,82246,106403,101072,51351
2002,광진구,387310,98469,123780,116610,48450
2002,동대문구,381820,87876,116945,113597,63401
2002,중랑구,445526,116319,128267,140029,60910
2002,성북구,447205,103501,133053,133816,76835
2002,강북구,356650,82891,106643,106701,60413
2002,도봉구,371585,102568,97895,120110,51010
2002,노원구,644278,184118,169673,206983,83504
2002,은평구,468962,117371,135122,142569,73899
2002,서대문구,364421,86236,110934,105784,61465
2002,마포구,377279,85829,122626,107956,60867
2002,양천구,484431,137968,125845,163557,57061
2002,강서구,524905,139518,150793,167937,66656
2002,구로구,414346,104642,126141,128625,54938
2002,금천구,260944,67327,77194,82338,34084
2002,영등포구,407806,98852,126264,123440,59249
2002,동작구,404581,93230,131787,115907,63656
2002,관악구,524985,116939,184936,148244,74866
2002,서초구,391552,93648,121209,122473,54221
2002,강남구,537889,131689,165080,171752,69367
2002,송파구,651260,174243,189783,209289,77944
2002,강동구,485355,132032,133960,162074,57288
2003,서울특별시,10190690,2475812,3006173,3183735,1524969
2003,종로구,179375,40124,49834,55104,34313
2003,중구,136341,28452,40234,41498,26156
2003,용산구,233262,49711,68786,70206,44559
2003,성동구,340070,79371,104567,102874,53258
2003,광진구,385720,94956,122165,118130,50468
2003,동대문구,382358,85269,115593,115411,66083
2003,중랑구,439107,110295,125140,140372,63299
2003,성북구,448433,101050,132625,135613,79144
2003,강북구,361279,82010,106360,109154,63755
2003,도봉구,374255,99748,97721,122424,54361
2003,노원구,636791,177277,165209,207619,86686
2003,은평구,472491,114918,135091,144945,77537
2003,서대문구,359183,82885,107507,106058,62732
2003,마포구,377434,83606,121752,109520,62555
2003,양천구,485740,135760,123891,166379,59709
2003,강서구,532662,136257,153823,171052,71529
2003,구로구,413104,100634,124319,129760,58390
2003,금천구,261318,65115,75910,83995,36297
2003,영등포구,406040,95314,123663,124958,62104
2003,동작구,406703,90605,131680,117872,66546
2003,관악구,522331,110993,185122,148068,78148
2003,서초구,392006,92401,119360,123752,56493
2003,강남구,532057,128386,160854,171713,71104
2003,송파구,633275,164570,183280,205842,79583
2003,강동구,479350,126100,131681,161411,60157
2004,서울특별시,10173624,2416260,2941545,3226757,1589061
2004,종로구,175945,38539,47638,55097,34671
2004,중구,133259,27158,38239,41285,26576
2004,용산구,230989,48183,66463,70846,45496
2004,성동구,339240,77114,102015,104945,55165
2004,광진구,382733,91937,118575,119744,52476
2004,동대문구,381139,83058,112496,117095,68490
2004,중랑구,434973,105998,121411,141629,65935
2004,성북구,452089,100173,131179,138966,81771
2004,강북구,360594,80298,102986,110888,66422
2004,도봉구,379269,98265,97299,125892,57811
2004,노원구,630057,171969,159742,208549,89796
2004,은평구,476432,113482,133310,148311,81328
2004,서대문구,353912,80168,103201,106636,63906
2004,마포구,381454,82943,121052,112694,64764
2004,양천구,491030,135221,122376,170371,63061
2004,강서구,539337,134239,154024,174798,76276
2004,구로구,414836,98192,122691,131766,62187
2004,금천구,260428,63178,73726,85281,38242
2004,영등포구,404794,92434,120701,126730,64928
2004,동작구,410652,89477,130621,120802,69752
2004,관악구,526306,108437,185127,150635,82106
2004,서초구,397812,92641,118597,126859,59715
2004,강남구,530247,126116,157045,173198,73887
2004,송파구,611903,155645,173056,202252,80950
2004,강동구,474187,121389,127970,161482,63346
2005,서울특별시,10170253,2365105,2867175,3282656,1655316
2005,종로구,171843,36751,45367,54864,34861
2005,중구,130999,26054,36536,41438,26970
2005,용산구,230183,47183,64287,72289,46423
2005,성동구,338428,75356,98935,107132,57005
2005,광진구,378075,88822,113819,121246,54186
2005,동대문구,380257,80917,109168,119208,70963
2005,중랑구,430615,102154,116806,143057,68598
2005,성북구,457000,99996,128622,143762,84620
2005,강북구,356892,77944,98097,112143,68707
2005,도봉구,381734,96203,95852,128758,60919
2005,노원구,625093,167458,154359,210263,93013
2005,은평구,474419,110850,128487,150640,84441
2005,서대문구,350617,77874,98888,108320,65534
2005,마포구,385810,82396,119534,116860,67019
2005,양천구,497426,134934,121006,174648,66838
2005,강서구,547665,133338,153406,179714,81206
2005,구로구,416616,96070,120721,133810,66015
2005,금천구,258267,61204,70596,86296,40170
2005,영등포구,407323,90681,118531,129630,68481
2005,동작구,410713,88099,126659,123380,72574
2005,관악구,530088,106686,182968,154322,86111
2005,서초구,401302,92332,116390,130032,62547
2005,강남구,536213,124614,156950,176721,77927
2005,송파구,605066,150493,167524,202996,84053
2005,강동구,467602,116691,123660,161119,66131
2006,서울특별시,10174255,2312273,2790868,3356862,1714251
2006,종로구,168054,35028,43205,54961,34859
2006,중구,130338,25165,35342,42392,27438
2006,용산구,231147,46416,62749,74786,47195
2006,성동구,336090,73141,95151,109498,58300
2006,광진구,375027,85927,110118,123250,55731
2006,동대문구,379985,78815,106137,121820,73212
2006,중랑구,426725,98162,112376,144979,71208
2006,성북구,467861,101234,127600,151151,87875
2006,강북구,351125,74823,92762,113195,70344
2006,도봉구,379531,92612,92824,130527,63567
2006,노원구,620048,162858,148476,212976,95737
2006,은평구,467665,106974,121813,152476,86401
2006,서대문구,349091,75886,95260,110869,67075
2006,마포구,389373,81416,117403,121720,68834
2006,양천구,500736,133812,118098,178877,69948
2006,강서구,554302,131918,151752,184979,85652
2006,구로구,418118,93990,118222,136612,69293
2006,금천구,255072,58954,67159,87190,41768
2006,영등포구,408542,88475,115440,133007,71619
2006,동작구,409531,86147,122186,126339,74859
2006,관악구,532618,104314,179719,158924,89661
2006,서초구,405001,92107,113707,134186,65000
2006,강남구,548936,125064,158264,183485,82123
2006,송파구,606422,146685,164926,206915,87896
2006,강동구,462909,112344,120173,161742,68650
2007,서울특별시,10186938,2269041,2716239,3417354,1784303
2007,종로구,166319,33867,41659,55365,35427
2007,중구,130346,24601,34240,43332,28173
2007,용산구,233933,46171,61863,77663,48235
2007,성동구,333986,71211,91573,111338,59863
2007,광진구,375507,83947,108074,125365,58120
2007,동대문구,377640,76815,102473,123048,75304
2007,중랑구,426574,95110,109716,146964,74784
2007,성북구,471408,101044,124199,155561,90603
2007,강북구,347234,72369,88398,114111,72355
2007,도봉구,376754,89126,89594,131438,66595
2007,노원구,617423,159486,143037,215487,99412
2007,은평구,461888,103681,115527,153962,88718
2007,서대문구,348797,74308,92377,113117,68994
2007,마포구,391616,80698,114220,125786,70912
2007,양천구,502683,132428,114896,181926,73432
2007,강서구,557684,129868,148558,188720,90538
2007,구로구,420187,92492,115754,139160,72780
2007,금천구,251175,56561,63835,87302,43476
2007,영등포구,408438,86712,111432,135617,74675
2007,동작구,407274,84197,117789,128341,76946
2007,관악구,535394,102132,177017,162735,93509
2007,서초구,407117,91733,110627,136831,67926
2007,강남구,558961,125735,157209,188958,87058
2007,송파구,615440,145340,163842,212287,93971
2007,강동구,463153,109402,118324,162935,72490
2008,서울특별시,10196768,2226930,2648741,3456806,1864291
2008,종로구,168275,33718,41177,56724,36656
2008,중구,130203,24125,33248,43898,28931
2008,용산구,237028,46035,61169,79987,49836
2008,성동구,323873,67902,85778,109893,60300
2008,광진구,376027,81943,106093,126990,61000
2008,동대문구,373335,74595,98347,123067,77325
2008,중랑구,427471,92340,107853,148505,78772
2008,성북구,471665,100097,119984,158005,93577
2008,강북구,343876,70149,84573,114547,74606
2008,도봉구,374955,86001,87272,131768,69914
2008,노원구,616367,156508,138829,217212,103816
2008,은평구,458798,101035,110423,155399,91941
2008,서대문구,340131,71143,86960,112356,69672
2008,마포구,388884,79357,109557,127631,72339
2008,양천구,502996,130251,112348,183003,77393
2008,강서구,568636,129685,147976,193813,97161
2008,구로구,420668,90666,112810,140521,76670
2008,금천구,248214,54113,61388,87246,45466
2008,영등포구,408138,84958,107529,137545,78105
2008,동작구,403416,82054,113447,128911,79003
2008,관악구,535063,99217,173995,164689,97162
2008,서초구,406144,90574,107066,137386,71117
2008,강남구,559395,123675,153906,190038,91774
2008,송파구,646419,149804,168818,223504,104292
2008,강동구,466785,106980,118187,164163,77454
2009,서울특별시,10204564,2181011,2586684,3491195,1945673
2009,종로구,169654,33258,40701,57803,37891
2009,중구,129913,23435,32263,44393,29821
2009,용산구,238466,45308,60141,81379,51637
2009,성동구,311135,63900,79316,107577,60341
2009,광진구,374740,79220,103761,127891,63867
2009,동대문구,366198,71534,93702,121937,79024
2009,중랑구,426316,89214,105280,149144,82677
2009,성북구,474692,99321,117123,161049,97199
2009,강북구,341320,68033,81144,115079,77063
2009,도봉구,371834,82800,84724,131238,73072
2009,노원구,613298,152518,134941,217784,108054
2009,은평구,462148,99798,107663,158277,96408
2009,서대문구,329569,67428,81524,110548,70069
2009,마포구,384566,77349,104958,128666,73592
2009,양천구,501869,127655,109599,183448,81166
2009,강서구,574842,128173,146282,197270,103116
2009,구로구,421381,88702,109882,142080,80717
2009,금천구,246077,51793,59800,87119,47365
2009,영등포구,406948,82524,103800,139185,81439
2009,동작구,399393,79396,109749,129064,81183
2009,관악구,532212,95729,169613,166046,100824
2009,서초구,415900,91978,106493,141635,75793
2009,강남구,559985,122142,150925,191257,95660
2009,송파구,675219,153585,173370,234064,114199
2009,강동구,476884,106212,119922,167257,83492
2010,서울특별시,10175959,2128796,2523440,3483191,2040532
2010,종로구,166753,31706,39274,56826,38946
2010,중구,129027,22634,31162,44285,30946
2010,용산구,237267,44077,58485,81268,53436
2010,성동구,305806,61175,75907,106411,62313
2010,광진구,371968,76239,101385,127186,67158
2010,동대문구,360858,68840,90022,120174,81821
2010,중랑구,422753,85784,102184,147591,87193
2010,성북구,478396,98588,115381,162736,101691
2010,강북구,340235,66313,78560,114939,80422
2010,도봉구,366691,79363,81972,128731,76624
2010,노원구,607752,147732,131145,215829,113045
2010,은평구,472748,100283,107681,161857,102926
2010,서대문구,322647,64443,77992,108461,71751
2010,마포구,384598,76283,101890,129766,76658
2010,양천구,497935,124276,106492,181663,85504
2010,강서구,569884,123827,141975,195491,108590
2010,구로구,420356,86649,106448,142091,85167
2010,금천구,242748,49153,58312,85739,49543
2010,영등포구,402612,79578,100089,138223,84721
2010,동작구,397391,77136,107168,128745,84342
2010,관악구,526693,91925,164441,165303,105023
2010,서초구,426529,93873,106287,145387,80981
2010,강남구,560803,121766,147821,191308,99908
2010,송파구,678728,151624,170886,234678,121540
2010,강동구,484777,105525,120477,168498,90277
2011,서울특별시,10116242,2066783,2469891,3447216,2132351
2011,종로구,163975,30244,38148,55614,39968
2011,중구,128861,22027,30550,44035,32247
2011,용산구,236688,43181,57334,80956,55217
2011,성동구,299533,58172,73179,103993,64188
2011,광진구,368260,73218,99180,125549,70312
2011,동대문구,359109,66766,88077,119052,85214
2011,중랑구,419048,82309,99814,145283,91642
2011,성북구,479088,96968,113699,162313,106107
2011,강북구,339529,64610,76799,114295,83825
2011,도봉구,362400,76017,80175,125799,80408
2011,노원구,601411,142449,128328,212501,118131
2011,은평구,482586,100338,108200,164695,109353
2011,서대문구,313144,60957,74504,104790,72893
2011,마포구,384129,75000,99421,130074,79634
2011,양천구,494724,120638,104693,179137,90255
2011,강서구,564602,118880,139172,192360,114189
2011,구로구,420803,85131,104068,141683,89920
2011,금천구,239926,46447,57439,84116,51922
2011,영등포구,394875,75774,96809,134912,87378
2011,동작구,396306,75025,105554,128038,87689
2011,관악구,521193,88077,160291,163820,109004
2011,서초구,427110,93348,103827,145288,84646
2011,강남구,557563,119877,143976,189593,104117
2011,송파구,674828,147872,167385,231911,127659
2011,강동구,486546,103450,119262,167405,96428
2012,서울특별시,10062309,1999951,2431467,3408726,2222164
2012,종로구,161487,28797,37335,54333,41022
2012,중구,129204,21322,30577,43649,33655
2012,용산구,235931,42283,56317,80388,56943
2012,성동구,295034,55477,71779,101855,65922
2012,광진구,366312,70557,97752,124309,73694
2012,동대문구,357595,64630,86694,117723,88547
2012,중랑구,415245,78473,98081,142703,95986
2012,성북구,475852,94055,111272,160495,110029
2012,강북구,338041,62518,75207,113264,87051
2012,도봉구,359554,72875,79023,123079,84576
2012,노원구,594568,136836,126338,208447,122946
2012,은평구,489536,99319,108691,166227,115298
2012,서대문구,308639,58263,72961,102616,74799
2012,마포구,380669,72737,96919,129247,81765
2012,양천구,492793,116868,103916,176890,95118
2012,강서구,561431,114262,137626,189679,119863
2012,구로구,422946,83706,102974,141572,94693
2012,금천구,239085,44304,57196,83081,54504
2012,영등포구,387175,71769,94231,131210,89963
2012,동작구,397899,73230,105104,128191,91374
2012,관악구,517095,84396,157264,162450,112984
2012,서초구,427540,92576,101728,145306,87929
2012,강남구,554870,116975,140948,188461,108485
2012,송파구,669058,143327,164295,228414,133021
2012,강동구,484742,100390,117234,165129,101989
2013,서울특별시,10012711,1932652,2401211,3362164,2316684
2013,종로구,157433,27119,36275,52375,41663
2013,중구,127872,20225,30294,42610,34742
2013,용산구,232675,40837,54647,78851,58340
2013,성동구,294446,53682,71804,100647,68313
2013,광진구,364963,67853,97131,122729,77249
2013,동대문구,357193,62601,86089,116322,92180
2013,중랑구,412013,74744,96823,139787,100658
2013,성북구,471766,90928,108972,157944,113921
2013,강북구,334980,60096,73236,111427,90221
2013,도봉구,356181,69577,77788,119843,88973
2013,노원구,587991,131193,124726,203901,128170
2013,은평구,494712,97631,109202,166479,121399
2013,서대문구,308466,56394,72789,101449,77833
2013,마포구,376908,70273,95260,127494,83880
2013,양천구,489072,112432,102936,173730,99974
2013,강서구,561544,110486,137213,187399,126445
2013,구로구,421837,81304,101167,140197,99169
2013,금천구,237917,42256,56664,81786,57210
2013,영등포구,381707,68252,92872,127820,92762
2013,동작구,402763,72083,105840,129054,95785
2013,관악구,512922,80756,154777,160299,117089
2013,서초구,431841,92887,100878,146405,91670
2013,강남구,553927,114179,138799,187766,113183
2013,송파구,662392,138620,160800,224379,138592
2013,강동구,479183,96238,114221,161467,107256
2014,서울특별시,9970992,1866213,2367255,3323049,2414475
2014,종로구,153407,25539,35226,50452,42189
2014,중구,125273,18915,29388,41296,35673
2014,용산구,229055,39077,53101,77195,59681
2014,성동구,292786,51654,70893,99339,70900
2014,광진구,361146,64653,95736,120275,80481
2014,동대문구,357538,60730,85704,115335,95768
2014,중랑구,412023,71850,96203,137930,106039
2014,성북구,464356,87183,105670,154440,117062
2014,강북구,331078,57269,71002,109225,93580
2014,도봉구,352013,66153,75986,116726,93147
2014,노원구,580904,125364,122304,199427,133808
2014,은평구,493515,94114,107785,164934,126681
2014,서대문구,306297,53903,72031,99657,80704
2014,마포구,377446,68341,95478,127098,86529
2014,양천구,484474,107736,101571,170296,104870
2014,강서구,570666,108961,138422,188435,134848
2014,구로구,421109,78845,98936,139373,103954
2014,금천구,235687,39985,55754,80009,59939
2014,영등포구,377432,64861,92066,124897,95607
2014,동작구,403885,70072,105063,128850,99900
2014,관악구,508137,77008,152145,157935,121047
2014,서초구,439276,93992,100324,148999,95960
2014,강남구,561070,113478,138218,190465,118908
2014,송파구,658553,134368,157355,222143,144686
2014,강동구,473861,92154,110888,158310,112508
2015,서울특별시,9907155,1798692,2315822,3280529,2512111
2015,종로구,150750,24265,34527,48874,43084
2015,중구,122799,17719,28511,40026,36543
2015,용산구,225431,37284,51575,75489,61083
2015,성동구,291572,49813,69620,98207,73931
2015,광진구,356671,61613,93592,117799,83666
2015,동대문구,355274,58453,84187,113525,99108
2015,중랑구,410609,68861,94186,135969,111592
2015,성북구,455617,83484,101661,150645,119826
2015,강북구,327184,54274,68740,106951,97218
2015,도봉구,348310,62956,73738,114008,97607
2015,노원구,572940,119625,118887,194823,139605
2015,은평구,490515,90299,105180,163137,131899
2015,서대문구,305199,51956,71209,98520,83512
2015,마포구,379968,66894,95939,127458,89676
2015,양천구,480432,103679,99823,167041,109889
2015,강서구,580630,107668,138920,190436,143605
2015,구로구,419625,76386,96212,138211,108815
2015,금천구,233406,37930,54572,78017,62886
2015,영등포구,373359,61757,90819,122211,98571
2015,동작구,398747,67170,101734,126846,102996
2015,관악구,503853,73385,149613,155664,125189
2015,서초구,441511,93413,98196,150387,99514
2015,강남구,567007,113163,136092,193415,124336
2015,송파구,654241,129794,153114,219923,151409
2015,강동구,461499,86843,105170,152941,116544
2016,서울특별시,9811038,1727038,2256816,3227428,2599756
2016,종로구,148331,23075,33900,47356,43999
2016,중구,121151,16864,27917,39043,37327
2016,용산구,221883,35682,50105,73858,62236
2016,성동구,292890,48566,69221,97795,77307
2016,광진구,353271,58795,91925,115695,86855
2016,동대문구,350689,55754,81945,111037,101952
2016,중랑구,406546,65439,91303,133149,116654
2016,성북구,447099,80105,97774,146912,122308
2016,강북구,323126,51302,66552,104528,100743
2016,도봉구,345443,60065,71519,111562,102297
2016,노원구,565244,114221,115724,190172,145127
2016,은평구,486578,86541,102084,161125,136827
2016,서대문구,306663,50922,70840,98366,86534
2016,마포구,376341,64667,94230,125999,91444
2016,양천구,475845,100095,97391,163904,114455
2016,강서구,585425,105084,138371,190765,151203
2016,구로구,415281,73339,92795,136020,113127
2016,금천구,231819,36135,53428,76273,65982
2016,영등포구,367014,58858,88740,118956,100459
2016,동작구,395233,64685,99219,125244,106085
2016,관악구,500389,69726,148072,153365,129226
2016,서초구,439368,91303,95217,150363,102485
2016,강남구,560257,110068,130410,192065,127713
2016,송파구,650062,124910,149413,217661,158077
2016,강동구,445082,80831,98716,146207,119328
2017,서울특별시,9724400,1654040,2207682,3182806,2679872
2017,종로구,148098,22169,33849,46740,45340
2017,중구,121058,16254,27751,38765,38287
2017,용산구,219546,33931,49570,72648,63397
2017,성동구,296598,47547,69872,98410,80768
2017,광진구,351919,56154,91147,114439,90178
2017,동대문구,345931,52897,79764,108821,104449
2017,중랑구,403696,62135,89236,130682,121643
2017,성북구,439323,76723,94320,143798,124481
2017,강북구,319965,48472,65004,102402,104086
2017,도봉구,341842,56817,69348,109059,106617
2017,노원구,555097,108303,112160,184908,149726
2017,은평구,480967,82282,99046,158666,140972
2017,서대문구,306765,49428,70154,97903,89279
2017,마포구,369595,61806,91581,123873,92335
2017,양천구,468983,95963,93969,160467,118583
2017,강서구,591554,102368,138788,192026,158372
2017,구로구,409495,69747,89021,133793,116934
2017,금천구,231214,34453,52830,74919,69011
2017,영등포구,361910,56096,87055,116615,102143
2017,동작구,392903,62269,97517,123987,109130
2017,관악구,497056,65751,147755,150920,132629
2017,서초구,435952,88696,92227,149928,105100
2017,강남구,549396,105823,124163,189435,129974
2017,송파구,651722,121477,147787,217699,164758
2017,강동구,433809,76475,93763,141898,121673
2018,서울특별시,9642857,1579309,2175159,3139573,2748816
2018,종로구,148325,21375,33953,46353,46643
2018,중구,121382,15578,27900,38620,39282
2018,용산구,219034,32296,49956,72003,64778
2018,성동구,300991,46526,71081,99402,83982
2018,광진구,351215,53623,90979,113429,93183
2018,동대문구,342485,50366,78499,107215,106404
2018,중랑구,399875,58608,87288,128153,125826
2018,성북구,432108,73186,91928,140730,126264
2018,강북구,316094,45584,63726,100048,106735
2018,도봉구,337404,53372,67329,106468,110234
2018,노원구,543267,101671,108726,179243,153626
2018,은평구,476894,78133,97432,156424,144905
2018,서대문구,304796,47523,69408,96621,91243
2018,마포구,367176,59409,90828,122958,93980
2018,양천구,462235,91774,90699,157363,122398
2018,강서구,592308,98340,138252,191950,163766
2018,구로구,402970,65855,85855,131077,120183
2018,금천구,230452,32551,52867,73454,71580
2018,영등포구,360631,53528,87397,115530,104175
2018,동작구,390521,59536,96573,122613,111799
2018,관악구,494637,61613,149704,148091,135229
2018,서초구,429232,85605,88978,148299,106349
2018,강남구,537081,101693,118218,186238,130931
2018,송파구,656198,118644,147670,218408,171474
2018,강동구,425539,72913,89906,138878,123841
2019,서울특별시,9578974,1509200,2163913,3088757,2817104
2019,종로구,146603,20368,33550,45108,47577
2019,중구,121678,14898,28206,38187,40385
