,년도,자치구별,살인발생,살인검거,강도발생,강도검거,강간·강제추행발생,강간·강제추행검거,절도발생,절도검거,폭력발생,폭력검거,발생합계,인구수,범죄율,범죄율등수
0,2014,종로구,3,7,12,15,226,948,2272,1281,2508,2359,5021,165344,3036.7,2
1,2014,중구,6,5,13,13,221,161,2576,887,2415,2122,5231,136227,3839.91,1
2,2014,용산구,1,2,7,7,213,169,1560,522,2018,1640,3799,249914,1520.12,5
3,2014,성동구,1,1,5,6,141,103,1753,529,1682,1409,3582,303891,1178.71,16
4,2014,광진구,8,9,16,22,249,199,3167,1001,2828,2300,6268,377375,1660.95,4
5,2014,동대문구,12,11,13,8,141,112,1809,676,2388,2075,4363,376319,1159.39,17
6,2014,중랑구,11,10,14,11,163,118,2390,823,2775,2297,5353,423411,1264.26,11
7,2014,성북구,8,5,16,20,165,128,2130,935,2287,1940,4606,475961,967.73,20
8,2014,강북구,6,5,21,10,189,152,1494,575,2320,2064,4030,338410,1190.86,14
9,2014,도봉구,6,7,11,15,172,159,1350,478,1585,1327,3124,355712,878.24,25
10,2014,노원구,5,4,8,7,173,136,2404,803,2722,2350,5312,586056,906.4,23
11,2014,은평구,5,3,24,21,188,158,2352,798,2862,2345,5431,503243,1079.2,19
12,2014,서대문구,3,3,4,7,185,150,1883,665,2119,1763,4194,320861,1307.11,9
13,2014,마포구,4,4,22,9,265,218,2763,742,2686,2163,5740,395830,1450.12,8
14,2014,양천구,5,5,11,10,129,96,2058,630,2439,1913,4642,490708,945.98,21
15,2014,강서구,8,6,9,9,214,179,2341,734,2717,2297,5289,591653,893.94,24
16,2014,구로구,3,3,14,10,252,186,2377,579,2743,2207,5389,457131,1178.87,15
17,2014,금천구,7,7,9,6,162,133,1552,496,2112,1792,3842,258030,1488.97,7
18,2014,영등포구,14,15,10,5,250,183,3080,892,3649,2977,7003,421436,1661.7,3
19,2014,동작구,2,2,9,7,203,120,1787,603,1868,1580,3869,419261,922.81,22
20,2014,관악구,7,8,25,22,361,238,3029,784,3359,2649,6781,531960,1274.72,10
21,2014,서초구,6,9,14,12,285,184,2747,782,2506,2135,5558,454288,1223.45,12
22,2014,강남구,13,9,37,29,512,403,3895,1193,4394,3628,8851,583446,1517.02,6
23,2014,송파구,9,8,9,10,255,195,4199,885,3532,2884,8004,671794,1191.44,13
24,2014,강동구,5,4,10,8,148,129,2425,827,2804,2317,5392,481332,1120.22,18
25,2015,종로구,6,8,11,13,211,1139,2184,1145,2293,2125,4705,163822,2872.02,2
26,2015,중구,3,2,9,6,170,111,2548,859,2224,1964,4954,134329,3687.96,1
27,2015,용산구,5,5,14,14,194,173,1557,587,2050,1704,3820,247909,1540.89,5
28,2015,성동구,4,4,9,8,126,119,1607,597,1612,1395,3358,305065,1100.75,17
29,2015,광진구,4,4,14,26,240,220,3026,1277,2625,2180,5909,375180,1574.98,4
30,2015,동대문구,5,5,13,13,173,146,1981,814,2548,2227,4720,373824,1262.63,10
31,2015,중랑구,13,12,11,9,187,148,2135,829,2847,2407,5193,418620,1240.5,13
32,2015,성북구,5,5,5,4,150,124,1785,741,2209,1855,4154,469560,884.66,24
33,2015,강북구,7,8,14,13,153,126,1434,618,2649,2348,4257,334426,1272.93,9
34,2015,도봉구,3,3,9,10,102,106,1063,478,1487,1303,2664,353241,754.16,25
35,2015,노원구,10,10,7,7,197,121,2193,801,2723,2329,5130,578221,887.2,23
