년,자치구별,건립가구 (가구)_완료,시행완료 재개발수 구분
2011,종로구,0,적거나 없음
2011,중구,1840,매우 많음
2011,용산구,1062,많음
2011,성동구,551,보통
2011,광진구,0,적거나 없음
2011,동대문구,1581,매우 많음
2011,중랑구,0,적거나 없음
2011,성북구,199,적거나 없음
2011,강북구,0,적거나 없음
2011,도봉구,0,적거나 없음
2011,노원구,0,적거나 없음
2011,은평구,4430,매우 많음
2011,서대문구,681,보통
2011,마포구,0,적거나 없음
2011,양천구,0,적거나 없음
2011,강서구,0,적거나 없음
2011,구로구,0,적거나 없음
2011,금천구,0,적거나 없음
2011,영등포구,0,적거나 없음
2011,동작구,523,보통
2011,관악구,0,적거나 없음
2011,서초구,0,적거나 없음
2011,강남구,0,적거나 없음
2011,송파구,0,적거나 없음
2011,강동구,0,적거나 없음
2012,종로구,0,적거나 없음
2012,중구,0,적거나 없음
2012,용산구,0,적거나 없음
2012,성동구,4485,매우 많음
2012,광진구,0,적거나 없음
2012,동대문구,0,적거나 없음
2012,중랑구,0,적거나 없음
2012,성북구,0,적거나 없음
2012,강북구,0,적거나 없음
2012,도봉구,0,적거나 없음
2012,노원구,0,적거나 없음
2012,은평구,0,적거나 없음
2012,서대문구,0,적거나 없음
2012,마포구,0,적거나 없음
2012,양천구,0,적거나 없음
2012,강서구,0,적거나 없음
2012,구로구,0,적거나 없음
2012,금천구,0,적거나 없음
2012,영등포구,0,적거나 없음
2012,동작구,0,적거나 없음
2012,관악구,0,적거나 없음
2012,서초구,0,적거나 없음
2012,강남구,0,적거나 없음
2012,송파구,0,적거나 없음
2012,강동구,0,적거나 없음
2013,종로구,0,적거나 없음
2013,중구,0,적거나 없음
2013,용산구,0,적거나 없음
2013,성동구,0,적거나 없음
2013,광진구,0,적거나 없음
2013,동대문구,451,적거나 없음
2013,중랑구,0,적거나 없음
2013,성북구,440,적거나 없음
2013,강북구,0,적거나 없음
2013,도봉구,0,적거나 없음
2013,노원구,0,적거나 없음
2013,은평구,938,많음
2013,서대문구,0,적거나 없음
2013,마포구,195,적거나 없음
2013,양천구,0,적거나 없음
2013,강서구,0,적거나 없음
2013,구로구,0,적거나 없음
2013,금천구,0,적거나 없음
2013,영등포구,0,적거나 없음
2013,동작구,0,적거나 없음
2013,관악구,0,적거나 없음
2013,서초구,0,적거나 없음
2013,강남구,0,적거나 없음
2013,송파구,0,적거나 없음
2013,강동구,0,적거나 없음
2014,종로구,0,적거나 없음
2014,중구,0,적거나 없음
2014,용산구,0,적거나 없음
2014,성동구,0,적거나 없음
2014,광진구,0,적거나 없음
2014,동대문구,0,적거나 없음
2014,중랑구,0,적거나 없음
2014,성북구,490,보통
2014,강북구,0,적거나 없음
2014,도봉구,293,적거나 없음
2014,노원구,0,적거나 없음
2014,은평구,0,적거나 없음
2014,서대문구,0,적거나 없음
2014,마포구,1517,많음
2014,양천구,0,적거나 없음
2014,강서구,0,적거나 없음
2014,구로구,0,적거나 없음
2014,금천구,0,적거나 없음
2014,영등포구,836,많음
2014,동작구,0,적거나 없음
2014,관악구,0,적거나 없음
2014,서초구,0,적거나 없음
2014,강남구,0,적거나 없음
2014,송파구,0,적거나 없음
2014,강동구,0,적거나 없음
2015,종로구,0,적거나 없음
2015,중구,0,적거나 없음
2015,용산구,0,적거나 없음
2015,성동구,0,적거나 없음
2015,광진구,0,적거나 없음
2015,동대문구,311,적거나 없음
2015,중랑구,0,적거나 없음
2015,성북구,349,적거나 없음
2015,강북구,0,적거나 없음
2015,도봉구,0,적거나 없음
2015,노원구,0,적거나 없음
2015,은평구,1230,많음
2015,서대문구,0,적거나 없음
2015,마포구,2371,매우 많음
2015,양천구,0,적거나 없음
2015,강서구,0,적거나 없음
2015,구로구,0,적거나 없음
2015,금천구,0,적거나 없음
2015,영등포구,0,적거나 없음
2015,동작구,0,적거나 없음
2015,관악구,0,적거나 없음
2015,서초구,0,적거나 없음
2015,강남구,0,적거나 없음
2015,송파구,0,적거나 없음
2015,강동구,0,적거나 없음
2016,종로구,0,적거나 없음
2016,중구,0,적거나 없음
2016,용산구,0,적거나 없음
2016,성동구,3132,매우 많음
2016,광진구,0,적거나 없음
2016,동대문구,0,적거나 없음
2016,중랑구,0,적거나 없음
2016,성북구,629,보통
2016,강북구,0,적거나 없음
2016,도봉구,0,적거나 없음
2016,노원구,0,적거나 없음
2016,은평구,0,적거나 없음
2016,서대문구,0,적거나 없음
2016,마포구,773,보통
2016,양천구,1081,많음
2016,강서구,0,적거나 없음
2016,구로구,0,적거나 없음
2016,금천구,0,적거나 없음
2016,영등포구,0,적거나 없음
2016,동작구,471,보통
2016,관악구,0,적거나 없음
2016,서초구,0,적거나 없음
2016,강남구,0,적거나 없음
2016,송파구,0,적거나 없음
2016,강동구,0,적거나 없음
2017,종로구,0,적거나 없음
2017,중구,1341,많음
2017,용산구,0,적거나 없음
2017,성동구,713,보통
2017,광진구,0,적거나 없음
2017,동대문구,0,적거나 없음
2017,중랑구,0,적거나 없음
2017,성북구,1815,매우 많음
