철도운영기관명,선명,역명,도로명주소,위도,경도
코레일,1호선,도봉산,서울특별시 도봉구 도봉로 964-33,37.6890338,127.0466673
코레일,1호선,도봉,서울특별시 도봉구 도봉로 170길 2,37.6752038,127.0448981
코레일,1호선,방학,서울특별시 도봉구 도봉로 150다길 3,37.6655976,127.0444445
코레일,1호선,창동,서울특별시 도봉구 마들로11길 77,37.6533776,127.0476817
코레일,1호선,녹천,서울특별시 도붕구 덕릉로 376,37.6456347,127.0509423
코레일,1호선,월계,서울특별시 노원구 월계로53길 40,37.6350712,127.0589572
코레일,1호선,광운대,서울특별시 노원구 석계로 98-2,37.6234098,127.0622569
코레일,1호선,석계,서울특별시 노원구 화랑로 341,37.6158784,127.0653932
코레일,1호선,신이문,서울특별시 동대문구 한천로 472,37.6051923,127.0691225
코레일,1호선,외대앞,서울특별시 동대문구 휘경로 27,37.5997138,127.0661704
코레일,1호선,회기,서울특별시 동대문구 회기로 196,37.5907958,127.0593134
코레일,1호선,남영,서울특별시 용산구 한강대로77길 25,37.5416244,126.9712367
코레일,1호선,용산,서울특별시 용산구 한강대로23길 55,37.529557,126.9641567
코레일,1호선,노량진,서울특별시 동작구 노량진로 151,37.5140077,126.9424338
코레일,1호선,대방,서울특별시 영등포구 여의대방로 300,37.51331,126.9257017
코레일,1호선,신길,서울특별시 영등포구 영등포로 327,37.516318,126.9170199
코레일,1호선,영등포,서울특별시 영등포구 경인로 846,37.5159228,126.9073727
코레일,1호선,신도림,서울특별시 구로구 새마로 지하117-21,37.5043809,126.8877374
코레일,1호선,구로,서울특별시 구로구 구로중앙로 174,37.5025798,126.8821545
코레일,1호선,구일,서울특별시 구로구 구일로 133,37.4972421,126.8719888
코레일,1호선,개봉,서울특별시 구로구 경인로40길 47,37.4949138,126.859724
코레일,1호선,오류동,서울특별시 구로구 경인로 20길 13,37.4952645,126.8449766
코레일,1호선,온수,서울특별시 구로구 부일로 872,37.4922795,126.8239982
코레일,1호선,가산디지털단지,서울특별시 금천구 벚꽃로 309,37.4824123,126.8822401
코레일,1호선,독산,서울특별시 금천구 벚꽃로 115,37.4665133,126.8892552
코레일,1호선,금천구청,서울특별시 금천구 시흥대로 63길 91,37.4569435,126.8941786
서울교통공사,1호선,청량리(서울시립대입구),서울특별시 동대문구 왕산로 지하 205 ,37.5807737,127.0397395
서울교통공사,1호선,제기동,서울특별시 동대문구 왕산로 지하 93 ,37.5807737,127.0397395
서울교통공사,1호선,신설동,서울특별시 동대문구 왕산로 지하 1 ,37.5807737,127.0397395
서울교통공사,1호선,동묘앞,서울특별시 종로구 종로 359 ,37.5735962,127.0171394
서울교통공사,1호선,동대문,서울특별시 종로구 종로 지하 302 ,37.5701735,126.985657
서울교통공사,1호선,종로5가,서울특별시 종로구 종로 지하 216  ,37.5701735,126.985657
서울교통공사,1호선,종로3가,서울특별시 종로구 종로 지하 129 ,37.5701735,126.985657
서울교통공사,1호선,종각,서울특별시 종로구 종로 지하 55 ,37.5701735,126.985657
서울교통공사,1호선,시청,서울특별시 세종대로 지하 101 ,37.563054,126.9755254
서울교통공사,1호선,서울역,서울특별시 세종대로 지하 2 ,37.563054,126.9755254
서울교통공사,2호선,시청,서울특별시 중구 서소문로 지하 127 ,37.5620564,126.9703594
서울교통공사,2호선,을지로입구,서울특별시 중구 을지로 지하 42 ,37.5665899,126.9982939
서울교통공사,2호선,을지로3가,서울특별시 중구 을지로 지하 106 ,37.5665899,126.9982939
서울교통공사,2호선,을지로4가,서울특별시 중구 을지로 지하 178 ,37.5665899,126.9982939
서울교통공사,2호선,동대문역사문화공원,서울특별시 중구 을지로 지하 279 ,37.5665899,126.9982939
서울교통공사,2호선,신당,서울특별시 중구 퇴계로 지하 431-1 ,37.5656113,126.9999345
서울교통공사,2호선,상왕십리,서울특별시 성동구 왕십리로 지하 374 ,37.5536986,127.0391633
서울교통공사,2호선,왕십리,서울특별시 성동구 왕십리로 지하 300 ,37.5536986,127.0391633
서울교통공사,2호선,한양대,서울특별시 성동구 왕십리로 206 ,37.5536986,127.0391633
서울교통공사,2호선,뚝섬,서울특별시 성동구 아차산로 18 ,37.5463387,127.0535209
서울교통공사,2호선,성수,서울특별시 성동구 아차산로 100 ,37.5446813,127.0569827
서울교통공사,2호선,건대입구,서울특별시 광진구 아차산로 243 ,37.5408156,127.0690315
서울교통공사,2호선,구의(광진구청),서울특별시 광진구 아차산로 384-1 ,37.5380692,127.0890292
서울교통공사,2호선,강변(동서울터미널),서울특별시 광진구 강변역로 53 ,37.5353816,127.0945451
서울교통공사,2호선,잠실나루,서울특별시 송파구 오금로 20 ,37.5189313,127.104757
서울교통공사,2호선,잠실(송파구청),서울특별시 송파구 올림픽로 지하 265 ,37.5209922,127.0991094
서울교통공사,2호선,잠실새내,서울특별시 송파구 올림픽로 지하 140 ,37.5209922,127.0991094
서울교통공사,2호선,종합운동장,서울특별시 송파구 올림픽로 지하 23 ,37.5296206,127.0827992
서울교통공사,2호선,삼성(무역센터),서울특별시 강남구 테헤란로 지하 538 ,37.5041073,127.0475882
서울교통공사,2호선,선릉,서울특별시 강남구 테헤란로 지하 340 ,37.5041073,127.0475882
서울교통공사,2호선,역삼,서울특별시 강남구 테헤란로 지하 156 ,37.5041073,127.0475882
서울교통공사,2호선,강남,서울특별시 강남구 강남대로 지하 396 ,37.5061648,127.0257813
서울교통공사,2호선,교대(법원·검찰청),서울특별시 서초구 서초대로 지하 294 ,37.4910405,127.004581
서울교통공사,2호선,서초,서울특별시 서초구 서초대로 지하 233 ,37.4910405,127.004581
서울교통공사,2호선,방배,서울특별시 서초구 방배로 지하 80 ,37.486721,126.9949218
서울교통공사,2호선,사당,서울특별시 동작구 남부순환로 지하 2089,37.4799015,126.9404631
서울교통공사,2호선,낙성대,서울특별시 관악구 남부순환로 지하 1928,37.4799015,126.9404631
서울교통공사,2호선,서울대입구(관악구청),서울특별시 관악구 남부순환로 지하 1822 ,37.4799015,126.9404631
서울교통공사,2호선,봉천,서울특별시 관악구 남부순환로 지하 1721 ,37.4799015,126.9404631
서울교통공사,2호선,신림,서울특별시 관악구 남부순환로 지하 1614 ,37.4799015,126.9404631
서울교통공사,2호선,신대방,서울특별시 동작구 대림로 2,37.487549,126.9129603
서울교통공사,2호선,구로디지털단지,서울특별시 구로구 도림천로 477 ,37.485363,126.9010775
서울교통공사,2호선,대림(구로구청),서울특별시 구로구 도림천로 351 ,37.4934315,126.8947998
서울교통공사,2호선,신도림,서울특별시 구로구 새말로 지하117-21 ,37.5043809,126.8877374
서울교통공사,2호선,문래,서울특별시 영등포구 당산로 지하 28,37.5251247,126.8982447
서울교통공사,2호선,영등포구청,서울특별시 영등포구 당산로 121,37.5253665,126.8968631
서울교통공사,2호선,당산,서울특별시 영등포구 당산로 229,37.5352128,126.9026157
서울교통공사,2호선,합정,서울특별시 마포구 양화로 지하 55 ,37.5534256,126.9186096
서울교통공사,2호선,홍대입구,서울특별시 마포구 양화로 지하160 ,37.5534256,126.9186096
서울교통공사,2호선,신촌,서울특별시 마포구 신촌로 지하 90 ,37.5577706,126.9440849
